2023-04-22T12:55:44.499 INFO    userServer3 created!;
2023-04-22T12:56:51.358 INFO    Proposer0.0 started request for SIGNUP username=mike;
2023-04-22T12:56:51.363 INFO    Proposer0.0 starting paxos run 1;
2023-04-22T12:56:51.364 INFO    proposer0.0sending prepare to acceptors;
2023-04-22T12:56:51.367 INFO    acceptor0 received message from proposer0.0;
2023-04-22T12:56:51.367 INFO    acceptor0 sending promise back to proposer0.0;
2023-04-22T12:56:51.369 INFO    acceptor1 received message from proposer0.0;
2023-04-22T12:56:51.369 INFO    acceptor1 sending promise back to proposer0.0;
2023-04-22T12:56:51.372 INFO    acceptor2 received message from proposer0.0;
2023-04-22T12:56:51.372 INFO    acceptor2 sending promise back to proposer0.0;
2023-04-22T12:56:51.373 INFO    acceptor3 received message from proposer0.0;
2023-04-22T12:56:51.374 INFO    acceptor3 sending promise back to proposer0.0;
2023-04-22T12:56:51.394 INFO    proposer0.0 processing message of type promise with id=2.0;
2023-04-22T12:56:51.394 INFO    proposer0.0 processing message of type promise with id=2.0;
2023-04-22T12:56:51.395 INFO    proposer0.0 processing message of type promise with id=2.0;
2023-04-22T12:56:51.396 INFO    acceptor0 received message from proposer0.0;
2023-04-22T12:56:51.397 INFO    acceptor0 sending "accepted" back to proposer0.0;
2023-04-22T12:56:51.398 INFO    acceptor1 received message from proposer0.0;
2023-04-22T12:56:51.399 INFO    acceptor1 sending "accepted" back to proposer0.0;
2023-04-22T12:56:51.400 INFO    acceptor2 received message from proposer0.0;
2023-04-22T12:56:51.400 INFO    learner0 received a message for id=2.0;
2023-04-22T12:56:51.401 INFO    acceptor2 sending "accepted" back to proposer0.0;
2023-04-22T12:56:51.402 INFO    learner0 processing message with id=2.0;
2023-04-22T12:56:51.403 INFO    acceptor3 received message from proposer0.0;
2023-04-22T12:56:51.405 INFO    learner0 received a message for id=2.0;
2023-04-22T12:56:51.405 INFO    learner1 received a message for id=2.0;
2023-04-22T12:56:51.405 INFO    acceptor3 sending "accepted" back to proposer0.0;
2023-04-22T12:56:51.406 INFO    learner1 processing message with id=2.0;
2023-04-22T12:56:51.405 INFO    learner0 processing message with id=2.0;
2023-04-22T12:56:51.409 INFO    learner1 received a message for id=2.0;
2023-04-22T12:56:51.410 INFO    learner2 received a message for id=2.0;
2023-04-22T12:56:51.411 INFO    learner1 processing message with id=2.0;
2023-04-22T12:56:51.412 INFO    learner2 processing message with id=2.0;
2023-04-22T12:56:51.412 INFO    learner0 received a message for id=2.0;
2023-04-22T12:56:51.412 INFO    learner0 received a message for id=2.0;
2023-04-22T12:56:51.413 INFO    learner0 processing message with id=2.0;
2023-04-22T12:56:51.413 INFO    learner2 received a message for id=2.0;
2023-04-22T12:56:51.414 INFO    leaner0 received consensus on signup request, email=mike;
2023-04-22T12:56:51.413 INFO    learner3 received a message for id=2.0;
2023-04-22T12:56:51.415 INFO    learner1 received a message for id=2.0;
2023-04-22T12:56:51.415 INFO    learner2 processing message with id=2.0;
2023-04-22T12:56:51.414 INFO    learner1 received a message for id=2.0;
2023-04-22T12:56:51.416 INFO    learner1 processing message with id=2.0;
2023-04-22T12:56:51.416 INFO    learner0 processing message with id=2.0;
2023-04-22T12:56:51.416 INFO    learner3 processing message with id=2.0;
2023-04-22T12:56:51.418 INFO    leaner1 received consensus on signup request, email=mike;
2023-04-22T12:56:51.417 INFO    learner2 received a message for id=2.0;
2023-04-22T12:56:51.417 INFO    learner3 received a message for id=2.0;
2023-04-22T12:56:51.418 INFO    learner2 received a message for id=2.0;
2023-04-22T12:56:51.420 INFO    learner3 processing message with id=2.0;
2023-04-22T12:56:51.419 INFO    learner1 processing message with id=2.0;
2023-04-22T12:56:51.419 INFO    learner2 processing message with id=2.0;
2023-04-22T12:56:51.421 INFO    learner3 received a message for id=2.0;
2023-04-22T12:56:51.422 INFO    leaner2 received consensus on signup request, email=mike;
2023-04-22T12:56:51.422 INFO    learner3 processing message with id=2.0;
2023-04-22T12:56:51.422 INFO    learner3 received a message for id=2.0;
2023-04-22T12:56:51.423 INFO    leaner3 received consensus on signup request, email=mike;
2023-04-22T12:56:51.423 INFO    learner2 processing message with id=2.0;
2023-04-22T12:56:51.424 INFO    learner3 processing message with id=2.0;
2023-04-22T12:56:51.430 INFO    proposer0.0 processing message of type accepted with id=2.0;
2023-04-22T12:56:51.430 INFO    proposer0.0 processing message of type accepted with id=2.0;
2023-04-22T12:56:51.431 INFO    proposer0.0 processing message of type accepted with id=2.0;
2023-04-22T12:56:51.431 INFO    proposer0.0 got accept consensus --> SUCCESS!;
2023-04-22T12:56:51.431 INFO    proposer confirmed successful signup request;
